date,days_since_feb_17,active_cases
2/18,1,19
2/19,2,35
2/20,3,87
2/21,4,186
2/22,5,413
2/23,6,579
2/24,7,804
2/25,8,945
2/26,9,1225
2/27,10,1727
2/28,11,2297
2/29,12,3105
3/1,13,4159
3/2,14,4750
3/3,15,5255
3/4,16,5643
3/5,17,6134
3/6,18,6605
3/7,19,6954
3/8,20,7165
3/9,21,7212
3/10,22,7407
3/11,23,7470
3/12,24,7402
3/13,25,7300
3/14,26,7253
3/15,27,7024
3/16,28,6838
3/17,29,6789
3/18,30,6527
3/19,31,6325
3/20,32,6085
3/21,33,5884
3/22,34,5684
3/23,35,5410
3/24,36,5281
3/25,37,4966
3/26,38,4665
3/27,39,4523
3/28,40,4398
